player,club,games_played,games_started,mins,sub,goals,pass,assists,total_scoring_attempts,on_target_scoring_attempts,key_passes,expected_goals,fouls,fouls_suffered,offside,yellow_cards,total_red_cards
T. Baribo,PHI,5,5,394,0,6,81,0,13,8,2,4.74,7,5,1,2,0
H. Cuypers,CHI,6,6,450,0,5,83,1,14,7,4,5.81,6,7,3,0,0
E. Latte Lath,ATL,6,6,499,0,5,78.5,1,14,10,7,3.3,6,4,5,3,0
Antony,POR,6,6,523,0,4,78,0,12,10,6,1.91,10,6,2,1,0
C. Benteke,DC,6,6,531,0,4,69.3,1,30,13,8,6.56,11,5,6,2,0
Evander,CIN,6,5,462,1,4,80.9,1,21,11,13,1.6,8,9,1,1,0
A. Martínez,NYC,5,5,431,0,4,71.7,0,14,10,2,3.22,2,3,3,0,0
M. Ojeda,ORL,6,6,487,0,4,86.9,3,18,7,15,2.84,3,4,1,0,0
Tani Oluwaseyi,MIN,5,5,375,0,4,72.8,2,15,8,4,3.51,10,6,3,2,0
M. Pašalić,ORL,6,6,488,0,4,78,1,16,8,7,2.59,5,3,0,0,0
D. Rossi,CLB,6,6,540,0,4,85.7,0,18,9,5,1.99,4,9,3,1,0
K. Yeboah,MIN,6,5,441,1,4,67.4,0,27,11,4,5.26,8,3,3,0,0
L. Acosta,DAL,6,6,528,0,3,73.1,0,8,4,12,2.06,7,12,2,2,0
C. Arango,SJ,6,6,527,0,3,77.3,0,26,7,9,3.48,11,11,1,1,0
K. Denkey,CIN,5,4,389,1,3,86.3,0,11,5,4,3.42,7,2,7,0,0
A. Dreyer,SD,6,6,540,0,3,84.2,1,21,8,20,2.67,1,4,3,0,0
E. Forsberg,RBNY,6,6,536,0,3,82.9,1,12,4,14,2.03,0,12,3,0,0
J. Morris,SEA,3,2,216,1,3,75.8,0,7,4,4,1.38,0,1,3,0,0
L. Muriel,ORL,6,4,408,2,3,75.9,3,19,8,8,2.64,5,3,2,0,0
Rafael Navarro,COL,6,6,539,0,3,67.6,0,13,5,5,2.99,10,13,3,0,0
C. Ramírez,LA,6,4,297,2,3,67.3,0,8,4,4,1.62,0,5,1,0,0
T. Segovia,MIA,5,3,246,2,3,81.8,1,4,3,4,0.57,2,5,0,0,0
H. Wolf,NYC,6,6,499,0,3,81,1,10,4,4,2.11,8,4,2,0,0
S. Adekugbe,VAN,2,2,114,0,2,94.1,0,4,2,2,1.67,0,1,0,0,0
T. Allende,MIA,3,3,237,0,2,74.3,0,6,5,1,0.49,2,2,5,0,0
J. Bauer,NSH,4,2,164,2,2,81.8,0,3,2,4,0.32,3,1,0,0,0
P. Biel,CLT,6,6,465,0,2,84.3,4,10,5,10,1.68,5,5,0,0,0
E. Choupo-Moting,RBNY,6,6,540,0,2,83.8,1,9,5,9,1.62,9,10,5,2,0
A. Freeman,ORL,6,5,484,1,2,81.7,1,7,3,10,0.85,1,9,3,0,0
D. Gazdag,PHI,5,5,430,0,2,87.6,2,5,3,8,0.94,5,11,2,1,0
