player,club,games_played,games_started,mins,sub,goals,pass,assists,total_scoring_attempts,on_target_scoring_attempts,key_passes,expected_goals,fouls,fouls_suffered,offside,yellow_cards,total_red_cards
tai-baribo,PHI,5,5,394,0,6,81,0,13,8,2,4.74,7,5,1,2
hugo-cuypers,CHI,6,6,450,0,5,83,1,14,7,4,5.81,6,7,3,0
emmanuel-latte-lath,ATL,6,6,499,0,5,78.5,1,14,10,7,3.3,6,4,5,3
antony,POR,6,6,523,0,4,78,0,12,10,6,1.91,10,6,2,1
christian-benteke,DC,6,6,531,0,4,69.3,1,30,13,8,6.56,11,5,6,2
evander,CIN,6,5,462,1,4,80.9,1,21,11,13,1.6,8,9,1,1
alonso-martinez,NYC,5,5,431,0,4,71.7,0,14,10,2,3.22,2,3,3,0
martin-ojeda,ORL,6,6,487,0,4,86.9,3,18,7,15,2.84,3,4,1,0
tani-oluwaseyi,MIN,5,5,375,0,4,72.8,2,15,8,4,3.51,10,6,3,2
marco-pasalic,ORL,6,6,488,0,4,78,1,16,8,7,2.59,5,3,0,0
diego-rossi,CLB,6,6,540,0,4,85.7,0,18,9,5,1.99,4,9,3,1
kelvin-yeboah,MIN,6,5,441,1,4,67.4,0,27,11,4,5.26,8,3,3,0
luciano-acosta,DAL,6,6,528,0,3,73.1,0,8,4,12,2.06,7,12,2,2
cristian-arango,SJ,6,6,527,0,3,77.3,0,26,7,9,3.48,11,11,1,1
kevin-denkey,CIN,5,4,389,1,3,86.3,0,11,5,4,3.42,7,2,7,0
anders-dreyer,SD,6,6,540,0,3,84.2,1,21,8,20,2.67,1,4,3,0
emil-forsberg,RBNY,6,6,536,0,3,82.9,1,12,4,14,2.03,0,12,3,0
jordan-morris,SEA,3,2,216,1,3,75.8,0,7,4,4,1.38,0,1,3,0
luis-muriel,ORL,6,4,408,2,3,75.9,3,19,8,8,2.64,5,3,2,0
rafael-navarro,COL,6,6,539,0,3,67.6,0,13,5,5,2.99,10,13,3,0
christian-ramirez,LA,6,4,297,2,3,67.3,0,8,4,4,1.62,0,5,1,0
telasco-segovia,MIA,5,3,246,2,3,81.8,1,4,3,4,0.57,2,5,0,0
hannes-wolf,NYC,6,6,499,0,3,81,1,10,4,4,2.11,8,4,2,0
sam-adekugbe,VAN,2,2,114,0,2,94.1,0,4,2,2,1.67,0,1,0,0
tadeo-allende,MIA,3,3,237,0,2,74.3,0,6,5,1,0.49,2,2,5,0
josh-bauer,NSH,4,2,164,2,2,81.8,0,3,2,4,0.32,3,1,0,0
pep-biel,CLT,6,6,465,0,2,84.3,4,10,5,10,1.68,5,5,0,0
eric-maxim-choupo-moting,RBNY,6,6,540,0,2,83.8,1,9,5,9,1.62,9,10,5,2
alexander-freeman,ORL,6,5,484,1,2,81.7,1,7,3,10,0.85,1,9,3,0
daniel-gazdag,PHI,5,5,430,0,2,87.6,2,5,3,8,0.94,5,11,2,1
carles-gil,NE,5,5,450,0,2,81,0,11,3,6,1.16,1,20,0,0
brian-gutierrez,CHI,3,3,266,0,2,86.4,0,8,6,3,0.66,6,2,0,2
andrew-gutman,CHI,6,6,495,0,2,79.4,2,7,2,6,0.98,7,6,3,2
dejan-joveljic,SKC,6,5,460,1,2,79.4,0,3,2,5,1.05,7,2,1,1
deandre-kerr,TOR,5,2,223,3,2,61.8,0,3,3,1,0.48,2,8,2,0
jovan-lukic,PHI,6,6,494,0,2,84.1,0,12,4,5,0.39,6,3,0,1
david-martinez,LAFC,6,3,299,3,2,80.2,0,11,5,3,1.35,2,2,1,1
lionel-messi,MIA,3,2,215,1,2,82.1,2,12,9,7,2.08,1,5,0,1
djordje-mihailovic,COL,6,6,539,0,2,80.3,2,11,5,19,1.55,4,10,1,1
felipe-mora,POR,6,5,338,1,2,74.3,2,6,5,7,1.06,2,9,0,2
petar-musa,DAL,6,6,540,0,2,75.4,3,12,4,8,2.23,5,9,5,1
ahmed-qasem,NSH,5,3,277,2,2,78.7,0,7,4,2,1.17,4,3,1,0
albert-rusnak,SEA,6,5,501,1,2,89.7,3,22,10,23,2.2,1,1,2,0
jacen-russell-rowe,CLB,6,6,450,0,2,73.8,0,11,6,3,1.81,7,7,0,1
daniel-salloi,SKC,6,2,251,4,2,77.9,0,4,4,1,0.7,3,3,0,0
onni-valakari,SD,6,2,297,4,2,85.3,3,9,5,8,2.17,6,11,0,0
philip-zinckernagel,CHI,5,5,352,0,2,73.1,2,6,3,8,1.11,11,5,0,2
liel-abada,CLT,5,5,347,0,1,81.7,0,8,2,3,0.72,3,4,2,1
patrick-agyemang,CLT,5,5,408,0,1,75.9,0,9,3,7,1,8,8,2,1
forster-ajago,RSL,6,3,258,3,1,76,0,4,3,3,0.38,7,4,3,2
miguel-almiron,ATL,5,5,446,0,1,87,2,13,6,6,1.4,7,10,2,0
cesar-araujo,ORL,5,5,450,0,1,92.9,1,4,2,3,0.42,8,19,1,1
maximilian-arfsten,CLB,5,5,449,0,1,88.1,1,7,1,7,0.72,6,9,1,2
tomas-aviles,MIA,4,3,159,1,1,92.8,0,1,1,0,0.56,3,0,0,1
leonardo-barroso,CHI,4,2,265,2,1,81,1,1,1,2,0.77,0,2,0,0
cole-bassett,COL,6,6,510,0,1,78.8,0,12,3,3,1.62,7,0,0,1
amine-bassi,HOU,6,6,506,0,1,87.3,0,7,3,5,1.83,11,9,3,1
simon-becher,STL,6,4,337,2,1,59.1,0,9,5,3,1.31,4,9,4,2
federico-bernardeschi,TOR,6,6,540,0,1,76.4,2,16,7,8,1.39,7,7,3,2
