name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
christian-benteke;DC;30;30;2601;23;10;42;0.8;47;3;3;20.57;99;47;47.5;23.2;22;0;30
denis-bouanga;LAFC;32;30;2755;20;36;117;0.65;4;7;8;21.28;157;64;40.8;12.7;17;32;31
lionel-messi;MIA;19;15;1485;20;71;8;1.21;5;1;1;11.11;84;43;51.2;23.8;8;36;36
luis-suarez;MIA;27;21;1920;20;18;50;0.94;9;0;0;14.71;77;51;66.2;26;13;0;29
juan-camilo-hernandez-suarez;CLB;27;23;2118;19;26;92;0.81;20;2;4;15.9;138;45;32.6;13.8;10;1;33
cristian-arango;RSL;30;26;2291;17;13;77;0.67;28;2;2;17.22;119;48;40.3;14.3;22;2;29
daniel-gazdag;PHI;30;28;2500;17;10;33;0.61;8;4;5;14.63;51;34;66.7;33.3;17;2;20
alonso-martinez;NYC;26;19;1498;16;4;46;0.96;3;0;0;10.75;53;27;50.9;30.2;12;0;19
petar-musa;DAL;30;27;2304;16;22;59;0.63;10;1;1;11.23;91;33;36.3;17.6;18;0;19
gabriel-pec;LA;33;30;2730;16;109;13;0.53;4;1;2;15.08;126;58;46;12.7;8;50;30
jonathan-rodriguez;POR;29;27;2435;16;12;66;0.59;18;1;1;14.37;96;41;42.7;16.7;23;3;23
mateusz-bogusz;LAFC;32;31;2626;15;11;71;0.51;5;0;0;9.14;87;40;46;17.2;11;81;22
evander;POR;28;27;2459;15;12;88;0.55;1;3;3;10.69;101;43;42.6;14.8;2;115;34
dejan-joveljic;LA;28;23;1942;15;16;31;0.7;10;1;2;15.49;57;33;57.9;26.3;8;0;21
rafael-navarro;COL;34;33;2790;15;13;52;0.48;25;4;7;16.35;90;44;48.9;16.7;28;0;20
brian-white;VAN;30;28;2460;15;11;32;0.55;27;0;0;13.17;70;30;42.9;21.4;19;0;17
luciano-acosta;CIN;32;29;2707;14;17;68;0.47;0;3;4;11.48;85;29;34.1;16.5;24;106;33
felipe-mora;POR;29;22;1897;14;1;43;0.66;20;1;1;15.81;64;31;48.4;21.9;2;0;20
facundo-torres;ORL;32;30;2642;14;54;4;0.48;5;2;3;9.53;63;30;47.6;22.2;7;7;20
andres-gomez;RSL;23;22;1815;13;21;45;0.64;2;0;0;8.63;68;33;48.5;19.1;5;2;22
lewis-morgan;RBNY;29;26;2420;13;31;50;0.48;8;2;3;13.4;89;35;39.3;14.6;14;10;20
jordan-morris;SEA;34;32;2803;13;7;34;0.42;28;0;0;12.78;69;33;47.8;18.8;6;1;18
ricard-puig-marti;LA;29;28;2539;13;8;100;0.46;0;1;2;8.6;108;36;33.3;12;2;9;28
santiago-rodriguez;NYC;32;32;2799;12;15;74;0.39;2;4;4;11.07;91;32;35.2;13.2;7;103;22
diego-rossi;CLB;34;30;2631;12;22;47;0.41;3;1;2;11.64;72;32;44.4;16.7;11;114;23
sam-surridge;NSH;28;27;2391;12;15;26;0.45;25;0;0;10.99;66;30;45.5;18.2;18;2;14
bongokuhle-hlongwane;MIN;32;23;1929;11;14;28;0.51;7;0;0;10.31;49;26;53.1;22.4;12;0;15
josef-martinez;MTL;23;13;1373;11;11;31;0.72;7;1;1;9.22;49;22;44.9;22.4;6;0;14
djordje-mihailovic;COL;29;29;2480;11;10;46;0.4;3;4;6;12.09;59;28;47.5;18.6;3;126;25
william-agada;SKC;32;20;1729;10;19;37;0.52;28;0;2;16.25;84;26;30.9;11.9;19;0;13
patrick-agyemang;CLT;31;19;1838;10;16;27;0.49;16;0;0;8.94;59;27;45.8;16.9;7;0;15
hugo-cuypers;CHI;31;31;2630;10;23;32;0.34;16;0;0;12.82;72;34;47.2;13.9;10;0;12
ryan-gauld;VAN;30;28;2463;10;34;7;0.37;6;2;2;6.54;47;22;46.8;21.3;4;91;25
yuya-kubo;CIN;32;27;2408;10;18;37;0.37;4;0;0;8.13;60;27;45;16.7;12;7;12
