name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Hugo Cuypers;6' 1\";165 lbs;2.7.1997 (28);Liège, Belgium;Forward;;Senior;Designated Player, International
Alonso Martínez;5' 10\";159 lbs;10.15.1998 (26);Puntarenas, Costa Rica;Forward;;Senior;International
;5' 10\";168 lbs;6.9.1998 (26);Rio de Janeiro, Brazil, Brazil;Midfielder;Right;Senior;International, Designated Player
Tai Baribo;5' 11\";172 lbs;1.15.1998 (27);Eilat, Israel;Forward;Right;Senior;International
Tanitoluwa Oluwaseyi;6' 3\";176 lbs;5.15.2000 (24);Abuja, Nigeria;Forward;;Senior;
Marco Pašalić;5' 10\";163 lbs;9.14.2000 (24);Karlsruhe, Germany;Forward;Left;;Designated Player
Antony Alves Santos;6' 1\";;9.8.2001 (23);;Forward;;Senior;International
Martín Ojeda;5' 9\";130 lbs;11.27.1998 (26);Gualeguaychu, Argentina, Argentina;Midfielder;Left;Senior;Designated Player
Emmanuel Latte Lath;5' 10\";165 lbs;1.1.1999 (26);Abidjan, Côte d'Ivoire;Forward;;;Designated Player, International
Christian Benteke;6' 3\";183 lbs;12.3.1990 (34);Kinshasa, Congo DR;Forward;Right;Senior;Designated Player
Anders Dreyer;5' 7\";139 lbs;5.2.1998 (26);Bramming, Denmark;Midfielder;Left;;
Cristian Arango;5' 10\";154 lbs;3.9.1995 (30);Medellín, Colombia;Forward;Right;Senior;Designated Player, International
Diego Rossi;5' 7\";143 lbs;3.5.1998 (27);Montevideo, Uruguay;Forward;Right;Senior;Designated Player
Kévin Denkey;5' 11\";179 lbs;11.30.2000 (24);Lomé, Togo;Forward;Right;;Designated Player
Luis Muriel;5' 11\";174 lbs;4.16.1991 (33);Santo Tomás, Colombia;Forward;Right;Senior;Designated Player, International
Rafael Navarro;6' 0\";185 lbs;4.14.2000 (24);Cabo Frio, Brazil;Forward;Right;Senior;Designated Player, International
Jordan Morris;6' 0\";185 lbs;10.26.1994 (30);Seattle, WA, USA;Forward;Right;Senior;Designated Player
Luciano Acosta;5' 3\";135 lbs;5.31.1994 (30);Buenos Aires, Argentina;Midfielder;Right;Senior;Designated Player
Kelvin Yeboah;6' 0\";172 lbs;5.6.2000 (24);Accra, Ghana;Forward;;Senior;Designated Player, International
Emil Forsberg;5' 10\";168 lbs;10.23.1991 (33);Sundsvall, Sweden;Midfielder;Right;;Designated Player, International
;;;;;;;;
Telasco Segovia;5' 11\";159 lbs;4.2.2003 (22);Barquisimeto, Venezuela;Midfielder;;;
Sam Adekugbe;5' 9\";165 lbs;1.16.1995 (30);London, England;Defender;Left;;
Christian Ramírez;6' 2\";187 lbs;4.4.1991 (34);Garden Grove, CA, USA;Forward;Right;Senior;
Josh Bauer;6' 3\";196 lbs;7.22.1998 (26);Tallahassee, FL, USA;Defender;;Supplemental Slots 21-24;
Alex Freeman;6' 2\";;8.9.2004 (20);Baltimore, MD, USA;Defender;;Supplemental Slots 21-24;Homegrown
Eric Maxim Choupo-Moting;6' 3\";198 lbs;3.23.1989 (36);Hamburg, Germany;Forward;Right;;
Tadeo Allende;6' 0\";;2.20.1999 (26);Mina Clavero, Argentina;Midfielder;;;
Hannes Wolf;5' 10\";152 lbs;4.16.1999 (25);Graz, Austria;Forward;;;
Pep Biel;5' 8\";137 lbs;9.5.1996 (28);Sant Joan, Spain;Midfielder;;;International
Deandre Kerr;5' 11\";179 lbs;11.29.2002 (22);Ajax, Canada;Forward;Right;Supplemental Slots 25-28;Homegrown
Brian Gutiérrez;5' 10\";141 lbs;6.17.2003 (21);Chicago, IL, USA;Midfielder;Right;Senior;Homegrown, U22 Initiative
David Martínez;5' 10\";150 lbs;2.7.2006 (19);El Tigre, Venezuela;Midfielder;;;
Felipe Mora;5' 9\";150 lbs;8.2.1993 (31);Santiago, Chile;Forward;Right;Senior;
Lionel Messi;5' 7\";148 lbs;6.24.1987 (37);Rosario, Argentina;Forward;Left;Senior;Designated Player, International
Dejan Joveljic;6';165 lbs;8.7.1999 (25);Bijeljina, Bosnia and Herzegovina;Forward;Right;Senior;International, U22 Initiative
Andrew Gutman;5' 10\";159 lbs;10.2.1996 (28);Hinsdale, IL, USA;Defender;;Senior;Homegrown
Djordje Mihailovic;5' 10\";152 lbs;11.10.1998 (26);Jacksonville, USA;Midfielder;Right;Senior;Homegrown, Designated Player
Petar Musa;6' 2\";185 lbs;3.4.1998 (27);Zagreb, Croatia;Forward;;Senior;Designated Player
Jovan Lukic;5' 11\";141 lbs;1.20.2002 (23);Valjevo, Yugoslavia;Midfielder;;;
Philip Zinckernagel;5' 9\";161 lbs;12.16.1994 (30);Copenhagen, Denmark;Midfielder;Right;;
Jacen Russell-Rowe;6' 0\";161 lbs;9.13.2002 (22);Toronto, Canada;Forward;Both;Supplemental Slots 21-24;Homegrown
Ahmed Qasem;6' 0\";161 lbs;7.12.2003 (21);Motala, Sweden;Midfielder;;;International, U22 Initiative
Albert Rusnák;5' 9\";135 lbs;7.7.1994 (30);Vyškov, Slovakia;Midfielder;Both;Senior;Designated Player
Onni Valakari;6' 2\";;8.18.1999 (25);Motherwell, Scotland;Midfielder;;;
Miguel Almirón;5' 9\";154 lbs;11.13.1993 (31);Asunción, Paraguay;Midfielder;Left;;Designated Player, International
Forster Ajago;;;8.16.2001 (23);Navrongo, Ghana;Forward;;;
Patrick Agyemang;6' 4\";;11.7.2000 (24);East Hartford, CT, USA;Forward;;Supplemental Slots 25-28;
Dániel Sallói;6' 1\";154 lbs;7.19.1996 (28);Siófok, Hungary;Forward;Both;Senior;Homegrown
Liel Abada;5' 6\";150 lbs;10.3.2001 (23);Petah Tikva, Israel;Forward;;;Designated Player, International
;;;;;;;;
César Araújo;5' 10\";152 lbs;4.2.2001 (24);Montevideo, Uruguay, Uruguay;Midfielder;Right;Senior;
Amine Bassi;5' 8\";159 lbs;11.27.1997 (27);Bezons, France;Forward;Right;Senior;
Max Arfsten;6' 1\";172 lbs;4.19.2001 (23);Fresno, CA, USA;Midfielder;;Senior;
Leonardo Barroso;5' 6\";159 lbs;6.12.2005 (19);Setúbal, Portugal;Defender;;;
Tomás Avilés;6' 1\";161 lbs;2.3.2004 (21);Río Gallegos, Argentina;Defender;Right;Senior;International, U22 Initiative
Simon Becher;6' 1\";187 lbs;7.20.1999 (25);Topeka, KS, USA;Forward;;Drafted;
Cole Bassett;5' 11\";150 lbs;7.28.2001 (23);Littleton, CO, USA;Midfielder;Both;Senior;Homegrown
Ousseni Bouda;5' 9\";172 lbs;4.28.2000 (24);unknown, Burkina Faso;Forward;;Senior;Generation adidas
Federico Bernardeschi;6' 1\";170 lbs;2.16.1994 (31);Carrara, Italy;Forward;Left;Senior;Designated Player, International
Osman Bukari;5' 7\";146 lbs;12.13.1998 (26);Accra, Ghana;Forward;Both;Senior;Designated Player, International
Bruno Damiani;6' 2\";176 lbs;4.18.2002 (22);Montevideo, Uruguay;Forward;;;
Brandt Bronico;5' 9\";154 lbs;6.20.1995 (29);Westminster, MD, USA;Midfielder;;Senior;
