name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
joe-bendik;ORL;34;34;3060;60;7;100;25;1;10
michael-parkhurst;CLB;34;34;3036;56;58;32.8;118;11;57
josh-saunders;NYC;33;33;2970;56;11;90.9;56;0;12
keegan-rosenberry;PHI;34;34;3060;55;60;53.3;76;13;88
david-villa;NYC;33;32;2869;55;29;27.6;31;47;13
frederic-brillant;NYC;31;31;2790;53;103;70.9;198;21;83
richie-marquez;PHI;33;33;2970;53;113;58.4;146;32;76
johan-kappelhof;CHI;33;31;2789;52;45;48.9;87;35;112
david-ousted;VAN;33;33;2970;52;13;92.3;28;0;3
steve-clark;CLB;32;32;2880;51;9;88.9;28;0;5
wil-trapp;CLB;30;29;2543;51;61;37.7;27;34;66
diego-valeri;POR;30;30;2634;51;60;33.3;3;22;20
andre-blake;PHI;32;32;2880;50;21;95.2;28;1;5
evan-bush;MTL;33;33;2931;50;7;100;39;2;4
lee-nguyen;NE;33;33;2900;50;8;12.5;3;36;14
andrea-pirlo;NYC;32;32;2770;50;19;36.8;10;29;40
andrew-farrell;NE;33;32;2891;49;51;56.9;94;15;82
ignacio-piatti;MTL;32;31;2818;49;5;0;3;35;25
kelyn-rowe;NE;33;32;2787;49;74;37.8;26;43;56
jonathan-campbell;CHI;33;30;2823;48;82;53.7;154;14;101
ethan-finlay;CLB;34;27;2462;48;36;27.8;8;18;20
kevin-molino;ORL;30;26;2316;48;28;25;7;38;23
fanendo-adi;POR;33;30;2649;46;143;44.8;49;70;4
matias-laba;VAN;32;32;2729;46;67;55.2;30;71;71
tim-parker;VAN;29;28;2551;46;114;63.2;155;22;50
servando-carrasco;ORL;31;21;2001;44;31;54.8;36;37;57
diego-chara;POR;30;30;2600;44;17;29.4;20;86;54
jose-goncalves;NE;28;28;2506;44;76;55.3;87;41;72
jason-hernandez;NYC;31;26;2292;44;49;59.2;72;26;74
cyle-larin;ORL;32;29;2455;44;107;37.4;24;24;6
luis-robles;RBNY;34;34;3060;44;6;100;17;0;2
joao-meira;CHI;28;26;2284;44;67;62.7;118;35;70
laurent-ciman;MTL;28;28;2484;43;71;56.3;137;24;119
fabinho;PHI;29;29;2517;43;70;41.4;70;27;95
kevin-alston;ORL;24;21;1989;42;28;35.7;41;23;37
tranquillo-barnetta;PHI;29;25;2311;42;36;33.3;9;36;19
scott-caldwell;NE;32;31;2622;42;38;28.9;31;35;70
tyrone-mears;SEA;32;32;2835;42;47;63.8;57;33;52
lucas-melano;POR;31;27;2268;42;27;29.6;11;29;22
brandon-vincent;CHI;26;24;2191;42;55;61.8;58;33;44
david-accam;CHI;24;21;1935;41;24;25;2;28;7
stefan-frei;SEA;33;33;2970;41;9;100;25;0;3
jordan-harvey;VAN;28;28;2520;41;64;56.3;69;26;50
sebastian-hines;ORL;26;23;2105;41;90;62.2;108;38;58
joevin-jones;SEA;33;29;2547;41;28;35.7;27;29;35
felipe-martins;RBNY;33;33;2898;41;32;34.4;15;51;71
justin-meram;CLB;33;31;2604;41;67;34.3;18;21;27
chris-pontius;PHI;33;32;2571;41;150;65.3;9;18;23
jalil-anibaba;HOU;30;28;2614;40;95;56.8;73;27;62
christian-bolanos;VAN;27;23;2116;40;31;35.5;4;24;31
alex;HOU;30;29;2476;40;68;44.1;18;40;35
jake-gleeson;POR;28;27;2470;40;7;100;29;1;4
ola-kamara;CLB;25;20;1859;40;83;37.4;15;24;5
sacha-kljestan;RBNY;32;30;2624;40;101;54.5;38;42;18
ronald-matarrita;NYC;25;23;1988;40;53;34;45;28;67
jordan-morris;SEA;34;32;2856;40;161;37.3;6;29;10
darlington-nagbe;POR;27;27;2416;40;31;61.3;6;16;23
nick-rimando;RSL;30;30;2700;40;7;71.4;17;0;1
cj-sapong;PHI;31;29;2535;40;193;45.1;7;44;13
david-bingham;SJ;34;34;3015;39;21;90.5;44;0;8
sean-franklin;DC;29;29;2494;39;53;39.6;71;39;60
