name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
bradley-wright-phillips;RBNY;32;29;2573;3;27;74.5;2;109;57;19;0;45;38;33;3;0
dom-dwyer;SKC;33;31;2724;2;22;67.3;1;113;48;17;0;64;66;38;6;0
robbie-keane;LA;29;28;2549;1;19;78.6;14;122;54;45;0;23;38;22;2;0
lee-nguyen;NE;32;32;2750;0;18;79.9;5;83;41;63;0;50;76;3;5;0
obafemi-martins;SEA;31;29;2600;2;17;73;13;77;36;44;0;25;67;11;4;2
gyasi-zardes;LA;32;26;2392;6;16;76.7;2;74;30;26;0;13;37;8;0;0
clint-dempsey;SEA;26;23;2132;3;15;85.9;10;113;47;37;0;34;52;12;4;0
erick-torres;CHV;29;29;2510;0;15;73.3;1;95;32;21;0;50;55;19;4;1
chris-wondolowski;SJ;26;26;2340;0;14;78.5;4;77;36;26;0;24;33;18;2;0
joao-plata;RSL;26;24;1985;2;13;83.1;6;56;32;45;0;14;23;14;0;0
sebastien-le-toux;PHI;29;23;2050;6;12;73.6;7;50;21;35;0;12;20;12;2;0
giles-barnes;HOU;34;34;3028;0;11;78.5;5;113;42;33;0;52;48;14;4;0
jermain-defoe;TOR;19;17;1529;2;11;79.2;2;58;25;20;0;22;23;25;5;0
fabian-espindola;DC;27;24;2124;3;11;68.4;9;68;31;56;0;49;45;28;5;1
ethan-finlay;CLB;29;21;1898;8;11;76.6;7;50;22;27;0;19;36;12;2;0
federico-higuain;CLB;29;28;2488;1;11;83.1;7;73;25;82;0;22;45;9;8;0
blas-perez;DAL;29;24;2062;5;11;67;6;55;21;19;0;46;51;12;4;2
luis-silva;DC;27;22;1523;5;11;75.2;4;39;17;24;0;20;18;4;2;0
diego-valeri;POR;33;32;2763;1;11;75.3;14;104;42;93;0;24;44;7;6;0
deshorn-brown;COL;30;26;2288;4;10;76.9;0;121;46;15;0;31;30;33;2;0
will-bruin;HOU;27;24;2074;3;10;71.2;1;68;31;34;0;18;10;9;3;0
fabian-castillo;DAL;27;26;2282;1;10;71.1;4;74;32;16;0;30;29;31;5;0
landon-donovan;LA;31;30;2720;1;10;82.9;19;66;24;95;0;31;32;6;7;0
thierry-henry;RBNY;30;30;2651;0;10;78;14;86;28;66;0;33;26;12;3;0
pedro-morales;VAN;33;28;2554;5;10;81;12;105;39;75;0;19;29;2;4;0
maximiliano-urruti;POR;30;12;1181;18;10;80.8;2;47;15;11;0;27;21;22;1;0
fanendo-adi;POR;24;18;1512;6;9;75.4;4;53;24;17;0;27;41;23;1;0
marco-di-vaio;MTL;26;17;1739;9;9;74.3;4;75;32;22;0;11;25;33;1;0
javier-morales;RSL;30;30;2645;0;9;83.5;12;64;19;87;0;52;73;4;6;0
lamar-neagle;SEA;32;27;2248;5;9;74;9;49;28;24;0;41;46;14;3;0
quincy-amarikwa;CHI;32;29;2549;3;8;74.1;5;76;29;40;0;57;101;27;6;1
conor-casey;PHI;25;18;1434;7;8;65.7;2;39;17;20;0;37;24;15;1;0
michel-garbini-pereira;DAL;25;20;1787;5;8;76.5;5;34;12;29;0;31;20;0;6;1
justin-meram;CLB;32;19;1683;13;8;76;4;52;21;21;0;27;30;1;2;0
alvaro-saborio;RSL;16;13;1148;3;8;72;2;47;18;5;0;25;18;20;3;0
tesho-akindele;DAL;26;18;1748;8;7;71.2;3;30;16;26;0;18;21;9;2;0
