name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
bradley-wright-phillips;RBNY;34;32;2761;2;24;69.6;5;103;56;31;0;53;37;34;3;0
david-villa;NYC;33;32;2869;1;23;71.8;4;166;68;42;0;47;72;41;5;0
sebastian-giovinco;TOR;28;28;2418;0;17;72.5;15;177;59;37;0;32;69;29;3;0
ignacio-piatti;MTL;32;31;2818;1;17;82.6;6;95;42;56;0;35;65;7;5;0
fanendo-adi;POR;33;30;2649;3;16;65.2;2;88;37;41;0;70;63;34;7;0
dom-dwyer;SKC;33;31;2823;2;16;65.8;3;119;44;20;0;66;74;32;8;0
ola-kamara;CLB;25;20;1859;5;16;77.3;2;80;38;14;0;24;35;34;0;0
giovani-dos-santos;LA;28;27;2350;1;14;84.9;12;63;31;38;0;17;24;12;3;0
cyle-larin;ORL;32;29;2455;3;14;73.2;3;73;33;19;0;24;60;20;0;0
diego-valeri;POR;30;30;2634;0;14;74.9;7;112;38;83;0;22;51;8;2;1
frank-lampard;NYC;19;15;1280;4;12;79.3;3;33;21;18;0;12;21;2;3;0
jordan-morris;SEA;34;32;2856;2;12;77.5;4;71;36;28;0;29;24;18;0;0
chris-pontius;PHI;33;32;2571;1;12;77.7;6;66;35;19;0;18;36;5;2;0
chris-wondolowski;SJ;30;30;2697;0;12;73;3;78;31;19;0;21;18;21;0;0
kevin-molino;ORL;30;26;2316;4;11;80.1;8;59;22;34;0;38;48;7;1;0
;TOR;23;16;1487;7;10;69.4;5;43;21;18;0;43;48;9;4;0
didier-drogba-x7391;MTL;22;18;1650;4;10;60.4;6;90;35;32;0;26;39;11;5;1
robbie-keane;LA;17;16;1426;1;10;77.1;2;40;21;10;0;7;17;20;1;0
david-accam;CHI;24;21;1935;3;9;72.5;5;71;28;26;0;28;66;20;4;0
roland-alberg;PHI;28;13;1153;15;9;84.8;3;47;17;22;0;28;32;4;2;1
michael-barrios;DAL;32;30;2454;2;9;78.4;2;50;26;52;0;23;25;12;3;0
kaka;ORL;24;23;1955;1;9;80.3;10;62;29;39;0;17;34;4;2;0
shkelzen-gashi;COL;26;25;2123;1;9;75.7;4;92;40;61;0;41;21;6;4;0
pedro-morales;VAN;27;26;2073;1;9;83.4;6;51;24;30;0;15;29;1;4;2
yura-movsisyan;RSL;29;25;2161;4;9;66.7;3;68;28;19;0;18;38;20;3;0
lamar-neagle;DC;31;21;1950;10;9;69.6;6;51;21;23;0;31;26;8;2;0
joao-plata;RSL;30;28;2478;2;9;81.7;12;77;33;51;0;13;29;7;4;0
maximiliano-urruti;DAL;30;29;2482;1;9;74.5;4;91;36;25;0;42;51;16;4;0
clint-dempsey;SEA;17;17;1429;0;8;82.4;2;65;22;21;0;23;27;6;1;1
patrick-mullins;DC;14;12;1048;2;8;63.4;2;37;18;6;0;23;12;14;1;0
juan-agudelo;NE;24;14;1349;10;7;80.1;5;52;18;20;0;31;24;13;5;0
michael-de-leeuw;CHI;18;17;1465;1;7;75.8;3;25;12;14;0;31;16;12;2;0
benny-feilhaber;SKC;30;28;2563;2;7;80.7;13;45;13;52;0;33;56;1;3;0
mike-grella;RBNY;32;28;2410;4;7;77.2;6;40;21;29;0;35;16;6;7;0
kei-kamara;NE;21;21;1869;0;7;70.5;2;70;24;22;0;32;36;22;5;0
juan-manuel-martinez;RSL;32;29;2519;3;7;76.8;3;47;17;26;0;24;80;7;1;0
cj-sapong;PHI;31;29;2535;2;7;67.3;2;60;22;23;0;44;71;17;1;0
tesho-akindele;DAL;31;15;1514;16;6;75.1;4;35;17;16;0;14;16;7;2;0
dominique-badji;COL;27;17;1571;10;6;72.8;4;47;19;17;0;39;14;16;5;0
kevin-doyle;COL;26;24;2178;2;6;72.5;2;73;15;36;0;31;50;15;5;0
diego-fagundez;NE;34;24;2237;10;6;82;6;64;22;28;0;17;27;3;4;0
ethan-finlay;CLB;34;27;2462;7;6;77.5;9;46;22;28;0;18;23;22;2;0
sacha-kljestan;RBNY;32;30;2624;2;6;74.8;20;40;19;90;0;42;38;6;3;0
mike-magee;LA;30;16;1467;14;6;82.8;4;33;18;19;0;15;21;3;1;0
mauro-manotas;HOU;22;10;1054;12;6;79.6;1;41;18;14;0;11;17;9;0;0
lee-nguyen;NE;33;33;2900;0;6;80.1;10;68;29;79;0;36;50;4;2;0
dominic-oduro;MTL;31;22;2028;9;6;77.2;6;34;17;16;0;18;43;19;2;0
julio-baptista;ORL;23;5;729;18;6;77;3;27;9;8;0;6;22;1;1;0
;SKC;21;18;1500;3;6;75;1;37;13;12;0;8;13;3;0;0
alvaro-saborio;DC;19;8;890;11;6;68.8;3;37;12;8;0;19;10;14;0;0
andrew-wenger;HOU;32;24;2062;8;6;66.4;3;44;19;15;0;27;15;6;3;0
;LA;19;17;1604;2;6;71.1;5;24;15;23;0;10;32;2;1;0
arturo-alvarez;CHI;30;24;1923;6;5;71.7;9;39;9;33;0;19;12;2;2;0
tranquillo-barnetta;PHI;29;25;2311;4;5;76;4;60;28;61;0;36;62;7;8;0
christian-bolanos;VAN;27;23;2116;4;5;80.7;8;34;13;39;0;24;32;5;2;0
fabian-castillo;DAL;22;20;1752;2;5;68.5;5;43;19;22;0;28;7;23;1;0
razvan-cocis;CHI;30;19;1901;11;5;76.2;2;28;10;17;0;25;26;2;4;0
simon-dawkins;SJ;29;28;2403;1;5;82.5;2;64;18;33;0;29;31;3;3;1
alex;HOU;30;29;2476;1;5;80.8;2;42;11;20;0;40;55;4;8;1
mauro-diaz;DAL;27;24;2149;3;5;77.3;13;47;14;67;0;32;81;4;3;0
adam-jahn;CLB;12;4;459;8;5;63.7;0;20;7;1;0;9;2;4;0;0
kei-kamara;CLB;9;9;790;0;5;72.4;0;36;13;4;0;8;9;9;0;0
kekuta-manneh;VAN;17;13;1139;4;5;71.9;2;36;19;11;0;9;10;6;1;0
felipe-martins;RBNY;33;33;2898;0;5;76.6;7;54;22;24;0;51;66;0;6;1
jack-mcinerney;POR;24;8;904;16;5;80.7;0;37;17;10;0;16;10;9;1;0
thomas-mcnamara;NYC;30;28;2229;2;5;81.5;9;40;18;26;0;33;28;3;5;0
steven-mendoza;NYC;24;10;1139;14;5;75.7;1;45;10;20;0;13;19;1;1;0
justin-meram;CLB;33;31;2604;2;5;72.4;13;76;27;38;0;21;53;13;3;0
justin-morrow;TOR;31;31;2653;0;5;75.8;4;15;7;25;0;8;16;5;5;0
kelyn-rowe;NE;33;32;2787;1;5;73.6;7;65;25;42;0;43;52;6;2;0
giles-barnes;HOU;14;13;1101;1;4;71.9;2;34;12;13;0;16;21;4;0;0
will-bruin;HOU;31;18;1554;13;4;70;3;59;22;18;0;22;24;5;1;0
ricardo-clark;HOU;32;29;2551;3;4;82.1;4;43;13;14;0;51;27;1;4;0
fabian-espindola;DC;15;10;926;5;4;70.7;1;38;15;16;0;9;18;5;2;0
jack-harrison;NYC;21;17;1574;4;4;73.6;7;22;8;26;0;15;19;3;0;0
federico-higuain;CLB;20;18;1607;2;4;79.3;3;45;14;48;0;10;23;5;0;0
kennedy-igboananike;CHI;18;18;1518;0;4;79.2;1;48;15;15;0;26;37;18;2;0
nicolas-lodeiro;SEA;13;13;1170;0;4;77.6;8;33;11;32;0;8;44;5;5;0
chad-marshall;SEA;30;30;2634;0;4;84.9;0;21;9;2;0;13;19;0;2;0
nicolas-mezquida;VAN;28;17;1395;11;4;72.7;1;50;19;18;0;19;35;3;1;0
javier-morales;RSL;29;23;2182;6;4;85.4;4;38;13;69;0;32;35;3;5;0
luke-mulholland;RSL;33;23;2028;10;4;79.8;2;42;9;17;0;54;40;1;7;0
patrick-nyarko;DC;26;23;1828;3;4;71.8;8;23;7;30;0;19;64;12;2;0
cristian-roldan;SEA;33;28;2632;5;4;83.3;3;30;11;15;0;27;46;4;2;0
khiry-shelton;NYC;22;13;1159;9;4;72.7;9;17;6;13;0;10;15;1;0;0
walker-zimmerman;DAL;30;30;2700;0;4;78.4;0;28;11;4;0;38;20;1;4;0
luciano-acosta;DC;31;25;2109;6;3;75;11;50;14;40;0;47;50;11;9;0
harrison-afful;CLB;30;30;2567;0;3;80.8;3;40;13;27;0;27;21;6;1;0
fatai-alashe;SJ;28;27;2334;1;3;81.5;1;19;9;5;0;41;23;2;8;0
jordan-allen;RSL;23;11;1099;12;3;81.9;2;15;8;12;0;15;19;1;1;0
osvaldo-alonso;SEA;32;32;2826;0;3;90.9;4;43;11;23;0;51;63;0;7;1
quincy-amarikwa;SJ;23;22;1699;1;3;68;3;50;12;21;0;55;52;16;0;0
steven-birnbaum;DC;26;26;2340;0;3;71.5;2;33;12;11;0;37;10;2;5;0
steven-gerrard;LA;21;18;1491;3;3;81;11;32;11;32;0;20;15;0;2;0
john-goossens;CHI;24;15;1288;9;3;75.6;4;32;11;25;0;10;17;9;0;0
alan-gordon;LA;22;7;710;15;3;73.4;1;15;6;4;0;17;13;7;2;0
marlon-hairston;COL;21;14;1272;7;3;78.5;6;16;9;15;0;11;15;10;2;0
jordan-hamilton;TOR;14;11;911;3;3;66.7;1;20;12;15;0;9;12;14;0;0
fabian-herbers;PHI;32;13;1290;19;3;74.5;7;32;14;14;0;18;30;4;3;0
sebastian-hines;ORL;26;23;2105;3;3;80.6;0;27;9;1;0;38;12;4;7;0
david-horst;HOU;26;24;2211;2;3;74;0;21;11;3;0;20;17;1;4;0
andreas-ivanschitz;SEA;28;25;1910;3;3;76.6;8;36;13;49;0;13;30;6;5;0
jermaine-jones;COL;9;8;725;1;3;74;2;21;9;9;0;21;26;4;4;0
cristian-maidana;HOU;30;21;1695;9;3;82.3;4;22;6;46;0;8;9;2;1;0
matteo-mancosu;MTL;15;7;772;8;3;66.4;4;33;11;6;0;9;14;9;1;0
dax-mccarty;RBNY;27;26;2268;1;3;81.5;5;24;8;19;0;28;37;1;3;0
lucas-melano;POR;31;27;2268;4;3;75.1;5;44;14;30;0;29;21;10;1;0
drew-moor;TOR;32;32;2880;0;3;86;0;21;6;4;0;15;29;0;3;0
alberto-quintero;SJ;30;29;2230;1;3;81.7;4;28;9;37;0;25;81;2;4;0
tosaint-ricketts;TOR;11;4;399;7;3;63.4;0;20;9;3;0;3;8;5;1;1
carlos-rivas;ORL;21;8;799;13;3;70.5;4;34;7;12;0;19;12;4;6;0
lloyd-sam;DC;13;13;971;0;3;74.8;6;13;5;27;0;12;16;11;1;0
brek-shea;ORL;27;22;2003;5;3;74.1;2;27;9;14;0;27;25;2;9;0
luis-solignac;COL;18;12;1105;6;3;73.2;2;26;11;10;0;10;9;11;0;0
gonzalo-veron;RBNY;23;6;631;17;3;75.6;0;18;8;8;0;11;15;6;2;1
kendall-waston;VAN;26;26;2266;0;3;77.6;1;21;9;7;0;43;15;0;8;3
adrian-winter;ORL;13;12;975;1;3;75.2;2;17;7;12;0;18;10;0;1;0
kellyn-acosta;DAL;32;24;2328;8;2;79.8;5;35;9;17;0;38;29;1;4;0
gideon-baah;RBNY;9;6;467;3;2;72.1;0;8;3;0;0;8;2;0;0;0
giles-barnes;VAN;10;8;706;2;2;71.5;1;17;7;8;0;11;12;3;1;0
chad-barrett;SJ;20;3;531;17;2;68.6;1;17;7;8;0;4;4;8;1;0
emmanuel-boateng;LA;26;17;1547;9;2;75.6;5;20;9;10;0;15;11;4;1;0
bobby-boswell;DC;30;29;2632;1;2;70.4;1;14;10;5;0;24;10;1;3;0
teal-bunbury;NE;27;19;1666;8;2;71.8;2;49;9;17;0;47;29;11;5;0
hassoun-camara;MTL;27;26;2249;1;2;76.7;2;19;5;10;0;44;15;3;6;0
sean-davis;RBNY;21;11;1108;10;2;82.6;3;12;3;17;0;18;15;0;0;0
brad-davis;SKC;24;14;1300;10;2;83.7;1;34;11;30;0;10;27;5;0;0
marky-delgado;TOR;28;23;1995;5;2;81;2;17;5;29;0;30;15;3;5;0
tsubasa-endoh;TOR;21;15;1387;6;2;82.6;0;24;9;24;0;9;20;2;0;0
justen-glad;RSL;28;27;2424;1;2;83.9;1;4;3;4;0;24;15;0;4;0
jordan-harvey;VAN;28;28;2520;0;2;76.9;0;10;2;15;0;26;24;0;2;0
femi-hollinger-janzen;NE;19;1;273;18;2;71.6;1;10;2;4;0;5;2;1;0;0
ryan-hollingshead;DAL;29;22;2024;7;2;73.8;0;22;8;13;0;36;24;3;3;0
erik-hurtado;VAN;24;12;1230;12;2;77;2;34;8;24;0;30;24;10;2;0
baggio-husidic;LA;29;16;1556;13;2;84.6;2;12;4;15;0;21;20;1;2;0
andrew-jacobson;VAN;26;18;1751;8;2;82;0;16;7;11;0;27;10;2;4;0
jared-jeffrey;DC;21;14;1314;7;2;81.8;0;24;5;10;0;40;3;1;5;0
will-johnson;TOR;23;19;1660;4;2;82.2;5;32;10;10;0;21;23;1;4;0
joevin-jones;SEA;33;29;2547;4;2;83.8;3;16;5;26;0;29;11;1;6;0
masato-kudo;VAN;17;12;894;5;2;77.1;1;25;14;6;0;12;8;11;0;0
sebastien-le-toux;PHI;21;13;1206;8;2;72.1;5;15;7;32;0;7;22;2;2;0
richie-marquez;PHI;33;33;2970;0;2;75.2;0;11;4;4;0;32;10;2;4;0
alex-muyl;RBNY;27;18;1599;9;2;71.5;6;30;12;10;0;41;37;8;5;0
vincent-nogueira;PHI;8;8;684;0;2;85.9;0;14;3;3;0;6;6;0;1;0
jamison-olave;RSL;17;16;1482;1;2;81.4;0;14;7;2;0;10;15;0;2;1
lawrence-olum;SKC;19;17;1469;2;2;82;1;10;4;2;0;13;4;0;3;0
lucas-ontivero;MTL;21;12;980;9;2;75.4;2;29;9;8;0;24;38;5;4;0
jonathan-osorio;TOR;30;26;2440;4;2;87;5;24;7;35;0;25;30;1;2;0
marco-pappa;COL;20;10;895;10;2;80.8;4;29;13;21;0;10;14;1;2;0
ilsinho;PHI;25;14;1286;11;2;77.9;2;30;7;14;0;13;14;3;2;1
blas-perez;VAN;22;5;754;17;2;68.3;1;15;5;10;0;26;22;2;5;0
matt-polster;CHI;27;24;2107;3;2;81.3;2;20;4;15;0;39;27;1;5;0
octavio-rivero;VAN;12;9;757;3;2;71.8;0;23;15;8;0;25;17;7;4;0
mauro-rosales;DAL;23;4;544;19;2;71.5;3;6;3;21;0;8;12;2;2;0
keegan-rosenberry;PHI;34;34;3060;0;2;77.4;2;21;7;28;0;13;17;0;0;0
michael-salazar;MTL;17;8;711;9;2;74.4;0;9;5;8;0;17;14;1;1;0
harry-shipp;MTL;27;20;1596;7;2;78.8;3;25;6;25;0;16;14;4;2;0
axel-sjoberg;COL;31;31;2772;0;2;82.3;1;11;6;2;0;25;11;0;6;0
luis-solignac;CHI;13;12;1072;1;2;74;0;23;11;17;0;20;14;12;1;1
tony-taylor;NYC;14;7;605;7;2;78.4;1;12;3;7;0;14;6;1;2;0
cristian-techera;VAN;29;19;1584;10;2;74.1;2;43;15;30;0;13;29;3;3;0
chris-tierney;NE;28;27;2321;1;2;73.3;3;19;6;46;0;6;9;0;1;0
ken-tribbett;PHI;22;19;1726;3;2;76.7;1;12;5;1;0;15;28;0;4;0
