name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
terry-boss;SEA;0;0;0;0;0;0;0;0;0;7;3;4
preston-burpo;COL;11;11;990;1;16;23;0;0;0;10;10;10
ray-burse;DAL;17;16;1503;1;27;62;0;0;0;11;13;6
jon-busch;CHI;30;30;2700;10;34;103;0;0;0;11;7;12
joe-cannon;SJ;28;28;2520;3;47;97;0;0;0;6;14;8
danny-cepero;RBNY;13;13;1088;0;21;62;0;0;0;5;19;6
steward-ceus;COL;0;0;0;0;0;0;0;0;0;1;1;4
jon-conway;RBNY;9;9;810;1;16;33;0;0;0;0;0;0
jon-conway;CHV;0;0;0;0;0;0;0;0;0;5;12;5
bouna-coundoul;RBNY;8;8;720;2;10;32;0;0;0;3;6;2
louis-crayton;DC;6;6;540;1;8;21;0;0;0;3;1;4
steve-cronin;DC;2;2;180;1;2;9;0;0;0;1;0;1
tyler-deric;HOU;0;0;0;0;0;0;0;0;0;0;0;0
ben-dragavon;SEA;1;0;61;0;1;2;0;0;0;0;3;1
alec-dufty;RBNY;1;0;82;0;0;2;0;0;0;0;2;2
andrew-dykstra;CHI;0;0;0;0;0;0;0;0;0;9;7;8
brian-edwards;TOR;3;3;270;1;6;11;0;0;0;6;8;7
chris-eylander;SEA;1;1;90;0;2;1;0;0;0;1;1;2
stefan-frei;TOR;26;26;2295;5;38;98;0;0;0;9;9;8
mike-graczyk;SJ;0;0;0;0;0;0;0;0;0;1;0;1
andy-gruenebaum;CLB;10;10;900;1;12;21;0;0;0;11;4;9
tally-hall;HOU;0;0;0;0;0;0;0;0;0;13;8;9
kevin-hartman;SKC;30;30;2700;7;42;105;0;0;0;8;13;9
william-hesmer;CLB;19;19;1710;7;18;68;0;0;0;10;7;7
kasey-keller;SEA;29;29;2549;10;26;78;0;0;0;12;6;11
dan-kennedy;CHV;0;0;0;0;0;0;0;0;0;0;0;0
brad-knighton;NE;6;6;540;0;14;36;0;0;0;11;10;9
milos-kocic;DC;4;3;308;0;8;9;0;0;0;9;8;12
eric-kronberg;SKC;0;0;0;0;0;0;0;0;0;0;0;0
josh-lambo;DAL;0;0;0;0;0;0;0;0;0;4;6;5
nick-noble;CHI;0;0;0;0;0;0;0;0;0;2;0;4
pat-onstad;HOU;30;30;2700;10;29;89;0;0;0;13;8;9
boris-pardo;SKC;0;0;0;0;0;0;0;0;0;8;13;9
lance-parker;CHV;4;3;315;1;8;11;0;0;0;9;9;3
matt-pickens;COL;19;19;1710;7;22;39;0;0;0;9;9;6
matt-reis;NE;24;24;2160;8;23;114;0;0;0;11;9;7
kyle-reynish;RSL;1;0;55;0;1;1;0;0;0;0;6;2
donovan-ricketts;LA;26;26;2274;9;26;82;0;0;0;10;5;11
nick-rimando;RSL;26;26;2285;9;29;73;0;0;0;11;10;6
