name_id;full_name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category;position_detail;preferred_side
aaron-hohlbein;Aaron Hohlbein;6' 0";170 lbs;8.16.1985 (39);Middleton, WI USA;Defender;;;;;
aaron-herrera;Aaron Herrera;5' 11";176 lbs;6.6.1997 (27);Las Cruces, NM, USA;Defender;Right;Senior;Homegrown;;
aaron-horton;Aaron Horton;5' 9";165 lbs;5.19.1992 (32);Middletown, CT USA;Forward;;;;;
aaron-jones;Aaron Jones;5' 9";161 lbs;3.11.1994 (31);Great Yarmouth, England;Defender;;;;;
aaron-bibout;Aaron Bibout;;;9.3.2004 (20);Yaoundé, Cameroon;Forward;;;;;
aaron-chandler;Aaron Chandler;6' 1";161 lbs;10.3.1983 (41);Denver, CO USA;Midfielder;;;;;
aaron-king;Aaron King;6' 0";174 lbs;1.31.1982 (43);Denver, CO USA;Forward;;;;;
aaron-guillen;Aaron Guillen;5' 11";161 lbs;6.23.1993 (31);Chihuahua, TX Mexico;Defender;Left;;;Full Back;Left
aaron-boupendza;Aaron Boupendza;5' 11";159 lbs;8.7.1996 (28);Moanda, Gabon;Forward;Left;Senior;Designated Player, International;Striker;Left/Centre/Right
aaron-cervantes;Aaron Cervantes;6' 1";185 lbs;3.20.2002 (23);unknown, USA;Goalkeeper;;;;;
aaron-schoenfeld;Aaron Schoenfeld;6' 4";192 lbs;4.17.1990 (34);Knoxville, TN Israel;Forward;;Senior;;Unknown;Unknown
aaron-lanes;Aaron Lanes;5' 7";163 lbs;11.17.1982 (42);San Francisco, CA USA;Midfielder;;;;;
aaron-pitchkolan;Aaron Edward Pitchkolan;6' 2";185 lbs;3.14.1983 (42);Aurora, CO USA;Defender;;;;;
abbe-ibrahim;Abdoulaye Ibrahim;5' 9";154 lbs;7.25.1986 (38);Lome Golfe, Togo;Forward;;;;;
abasa-aremeyaw;Abasa Aremeyaw;;;8.15.2003 (21);;Defender;;Supplemental Slots 25-28;International;Unknown;Unknown
aaron-kovar;Aaron Kovar;5' 10";154 lbs;8.14.1993 (31);Seattle, WA USA;Midfielder;;;;;
aaron-long;Aaron Long;6' 1";174 lbs;10.12.1992 (32);Oak Hills, CA, USA;Defender;Right;Senior;;;
aaron-lopez;Aaron Lopez;5' 11";170 lbs;2.28.1983 (42);;Defender;;;;;
aaron-wheeler;Aaron Wheeler;6' 4";196 lbs;5.11.1988 (36);Baltimore, MD USA;Forward;;;;Unknown;Unknown
aaron-maund;Aaron Maund;6' 2";185 lbs;9.19.1990 (34);Boston, MA USA;Defender;;;;;
abdul-rwatubyaye;Abdul Rwatubyaye;6' 1";174 lbs;10.23.1996 (28);Kigali, Rwanda;Defender;;Supplemental Slots 25-28;International;;
abdi-salim;Abdi Salim;6' 1";;4.1.2001 (24);Nairobi, Kenya;Defender;;Ineligible - On Loan;;;
abdoulaye-cissoko;Abdoulaye Cissoko;6' 2";194 lbs;12.27.1999 (25);Les Ulis, France;Defender;;Supplemental Slots 25-28;;Unknown;Unknown
abdul-thompson-conteh;Abdul Thompson Conteh;5' 11";170 lbs;7.2.1970 (54);Freetown, Sierra Leone;Forward;;;;;
abel-caputo;Abel Caputo;5' 10";161 lbs;7.11.2000 (24);unknown, Venezuela;Midfielder;;;;;
abel-xavier;Abel Luis Xavier;6' 1";181 lbs;11.30.1972 (52);Nampula, Mozambique;Defender;;;;;
abdoul-zanne;Abdoul Zanne;5' 5";130 lbs;2.18.2003 (22);;Midfielder;;;;Unknown;Unknown
abel-aguilar;Abel Aguilar;6' 1";18 lbs;1.6.1985 (40);Bogotá, Colombia;Midfielder;;;;;
abdoulie-mansally;Abdoulie Kenny Mansally;5' 10";161 lbs;1.27.1989 (36);Banjul, Gambia;Defender;;;;;
abdi-mohamed;Abdi Mohamed;6' 0";159 lbs;10.20.1996 (28);Nairobi, Kenya;Defender;;;;Full Back;Left/Right
aboubacar-keita;Aboubacar Keita;6' 2";179 lbs;4.6.2000 (25);New York, NY, USA;Midfielder;;Supplemental Slots 21-24;Homegrown;;
abu-tommy;Abu Tommy;6' 0";165 lbs;10.13.1989 (35);Koidu Town, Sierra Leone;Midfielder;;;;;
abe-thompson;Abe Broman Thompson;6' 0";170 lbs;1.12.1982 (43);Tucson, AZ USA;Forward;;;;;
abraham-romero;Abraham Romero;6' 2";185 lbs;2.18.1998 (27);Pasadena, CA, USA;Goalkeeper;Right;Supplemental Slots 25-28;;;
abuchi-obinwa;Abuchi Obinwa;6' 1";170 lbs;1.15.1997 (28);Columbus, OH USA;Midfielder;Right;;;Defensive Midfielder;Centre
adalberto-carrasquilla;Coco Carrasquilla;5' 7";141 lbs;11.28.1998 (26);Panama City, Panama;Midfielder;Right;Senior;International;;
adailton;Adailton José dos Santos Filho;6' 3";181 lbs;4.14.1983 (41);Salvador, Brazil;Defender;;;;;
abu-danladi;Abu Danladi;5' 10";170 lbs;10.18.1995 (29);Takoradi, Ghana;Forward;Right;Senior;;Striker;Centre
abraham-rodriguez;Abraham Rodriguez;5' 8";165 lbs;7.19.2002 (22);;Goalkeeper;;Supplemental Slots 25-28;Homegrown;Goalkeeper;Unknown
adam-acosta;Adam Acosta;6' 1";185 lbs;8.3.1982 (42);Salt Lake City, UT USA;Forward;;;;;
adam-eyre;Adam Eyre;6' 1";181 lbs;1.7.1978 (47);Agoura Hills, CA USA;Defender;;;;;
