name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
ricard-puig-marti;LA;29;28;2539;2497;2847;87.7;60;9;1;15;0.53;136;746;25;143
maya-yoshida;LA;34;34;3036;2241;2387;93.9;3;0;0;1;0.03;70;461;0;50
artur;HOU;34;34;3043;2228;2469;90.2;16;1;1;4;0.12;86;614;25;85
micael-dos-santos-silva;HOU;32;30;2769;2062;2271;90.8;6;0;0;0;0;81;350;0;27
jackson-ragen;SEA;33;33;2905;1921;2111;91;9;0;0;1;0.03;89;259;0;66
sergio-busquets;MIA;30;27;2484;1902;2097;90.7;21;0;2;7;0.25;83;548;100;117
thiago-martins-bueno;NYC;31;31;2789;1837;2034;90.3;6;0;0;1;0.03;74;329;0;60
marky-delgado;LA;32;29;2473;1790;1955;91.6;47;0;5;7;0.25;45;640;23.81;14
miki-yamane;LA;33;33;2925;1783;1971;90.5;20;0;9;6;0.18;24;623;27.27;22
rudy-camacho;CLB;28;27;2316;1756;1954;89.9;5;0;0;1;0.04;73;451;0;106
joel-waterman;MTL;25;24;2131;1703;1860;91.6;6;0;0;0;0;72;344;0;64
hector-herrera;HOU;22;19;1616;1615;1761;91.7;54;76;33;3;0.17;60;489;41.25;134
tomas-aviles;MIA;27;26;2207;1591;1730;92;4;0;0;1;0.04;56;270;0;37
adilson-malanda;CLT;32;32;2880;1589;1836;86.5;5;0;1;0;0;144;239;33.33;57
ashley-westwood;CLT;33;33;2970;1580;1867;84.6;53;46;21;6;0.18;108;359;29.58;134
malte-amundsen;CLB;31;26;2294;1574;1762;89.3;18;0;4;3;0.12;76;439;33.33;54
matt-polster;NE;31;31;2642;1560;1724;90.5;10;0;1;1;0.03;32;345;33.33;43
braian-ojeda;RSL;33;31;2694;1548;1709;90.6;29;0;1;6;0.2;66;556;11.11;22
ian-murphy;CIN;31;23;2291;1517;1706;88.9;4;0;0;1;0.04;32;305;0;47
pavel-bucha;CIN;33;33;2920;1506;1658;90.8;22;1;0;5;0.15;46;555;0;15
edwin-cerrillo;LA;33;24;2085;1497;1567;95.5;7;0;0;2;0.09;39;517;0;19
george-campbell;MTL;28;25;2198;1496;1739;86;9;0;1;3;0.12;47;420;25;39
james-sands;NYC;29;29;2556;1496;1670;89.6;10;0;1;4;0.14;44;432;25;61
amine-bassi;HOU;31;30;2541;1494;1692;88.3;78;70;44;8;0.28;51;562;44.44;34
noah-eile;RBNY;29;27;2419;1486;1692;87.8;9;0;0;3;0.11;114;259;0;30
robin-jansson;ORL;30;30;2662;1476;1691;87.3;4;0;0;1;0.03;73;336;0;76
steven-moreira;CLB;27;23;2104;1471;1612;91.3;14;1;6;4;0.17;35;407;33.33;53
ranko-veselinovic;VAN;32;31;2765;1463;1587;92.2;4;0;0;2;0.07;32;154;0;53
cristian-roldan;SEA;33;32;2846;1456;1700;85.7;31;3;14;5;0.16;72;461;22.95;21
justen-glad;RSL;26;25;2250;1453;1578;92.1;7;0;0;0;0;54;228;0;62
darlington-nagbe;CLB;29;28;2353;1435;1487;96.5;18;0;1;2;0.08;18;553;50;18
asier-illarramendi;DAL;25;22;1953;1415;1564;90.5;30;3;4;6;0.28;45;421;30.77;61
jordi-alba;MIA;28;24;2231;1412;1686;83.8;42;17;23;14;0.56;58;388;31.51;43
emeka-eneli;RSL;33;31;2669;1400;1525;91.8;25;0;0;3;0.1;20;539;0;22
cole-bassett;COL;30;29;2572;1389;1576;88.1;33;3;6;7;0.24;41;369;15;45
jack-mcglynn;PHI;30;25;2313;1385;1598;86.7;55;17;21;7;0.27;106;329;44.68;48
andrew-privett;CLT;30;30;2682;1369;1606;85.2;2;0;0;0;0;72;131;0;40
jack-maher;NSH;28;27;2429;1362;1506;90.4;2;0;0;0;0;64;163;0;43
yevhen-cheberko;CLB;25;17;1686;1361;1470;92.6;4;0;0;0;0;36;372;0;60
andreas-maxso;COL;34;34;3060;1361;1550;87.8;5;0;0;1;0.03;27;230;0;27
miles-robinson;CIN;25;25;2231;1347;1517;88.8;8;0;0;0;0;59;204;0;25
rodrigues;SJ;31;31;2759;1344;1564;85.9;7;0;0;1;0.03;68;220;0;36
sebastien-ibeagha;DAL;31;31;2790;1337;1553;86.1;4;0;0;1;0.03;55;305;0;65
yeimar-gomez-andrade;SEA;30;28;2471;1332;1537;86.7;7;0;1;0;0;52;310;100;39
